iter	Passed	Remaining
0	1	164
1	3	153
2	4	147
3	6	144
4	7	144
5	9	144
6	10	144
7	12	144
8	13	138
9	15	135
10	16	134
11	18	134
12	19	132
13	21	131
14	22	128
15	24	127
16	26	127
17	27	126
18	29	124
19	30	123
20	32	122
21	34	120
22	35	117
23	36	116
24	38	114
25	39	113
26	41	112
27	43	111
28	44	109
29	46	108
30	47	106
31	49	105
32	51	104
33	53	103
34	54	101
35	56	100
36	58	99
37	60	98
38	62	97
39	63	95
40	65	93
41	66	92
42	68	90
43	70	89
44	71	87
45	73	85
46	74	84
47	76	82
48	77	80
49	79	79
50	80	77
51	82	75
52	83	73
53	85	72
54	86	70
55	88	69
56	88	66
57	90	65
58	91	63
59	93	62
60	94	60
61	96	58
62	97	57
63	99	55
64	100	54
65	102	52
66	104	51
67	105	49
68	107	48
69	109	46
70	110	45
71	112	43
72	113	42
73	115	40
74	117	39
75	118	37
76	120	35
77	121	34
78	123	32
79	124	31
80	126	29
81	128	28
82	129	26
83	131	24
84	132	23
85	134	21
86	135	20
87	137	18
88	138	17
89	140	15
90	141	14
91	143	12
92	144	10
93	146	9
94	147	7
95	149	6
96	151	4
97	152	3
98	154	1
99	155	0
