iter	Passed	Remaining
0	154	154229
1	155	77527
2	156	51932
3	156	39053
4	157	31336
5	158	26182
6	158	22524
7	159	19790
8	160	17654
9	160	15934
10	161	14528
11	162	13355
12	162	12360
13	163	11509
14	164	10770
15	164	10141
16	165	9576
17	166	9083
18	167	8627
19	167	8214
20	168	7842
21	168	7503
22	169	7193
23	169	6911
24	170	6659
25	171	6423
26	172	6200
27	172	5992
28	173	5800
29	173	5619
30	174	5450
31	174	5292
32	175	5144
33	176	5009
34	177	4889
35	177	4766
36	178	4648
37	179	4536
38	179	4430
39	180	4329
40	180	4232
41	181	4145
42	182	4063
43	183	3980
44	183	3901
45	184	3824
46	185	3751
47	185	3681
48	186	3615
49	187	3554
50	188	3498
51	188	3438
52	189	3381
53	189	3326
54	190	3273
55	191	3223
56	191	3174
57	192	3125
58	193	3079
59	193	3035
60	194	2995
61	195	2953
62	195	2912
63	196	2872
64	196	2833
65	197	2795
66	198	2758
67	198	2724
68	199	2693
69	200	2663
70	201	2631
71	201	2599
72	202	2569
73	202	2538
74	203	2509
75	204	2481
76	204	2454
77	206	2437
78	206	2412
79	207	2386
80	208	2362
81	208	2337
82	209	2310
83	209	2287
84	210	2263
85	210	2241
86	211	2221
87	212	2201
88	213	2181
89	213	2160
90	214	2139
91	214	2119
92	215	2100
93	215	2081
94	216	2062
95	217	2047
96	218	2030
97	218	2014
98	219	1996
99	219	1979
100	220	1962
101	221	1946
102	221	1930
103	222	1914
104	222	1900
105	223	1885
106	224	1871
107	224	1856
108	225	1842
109	225	1828
110	226	1814
111	227	1800
112	227	1786
113	228	1773
114	228	1760
115	229	1748
116	230	1736
117	230	1725
118	231	1713
119	232	1701
120	232	1689
121	233	1677
122	233	1665
123	234	1654
124	234	1643
125	235	1633
126	236	1623
127	236	1613
128	237	1602
129	237	1592
130	238	1582
131	239	1572
132	239	1562
133	240	1552
134	240	1542
135	241	1534
136	242	1525
137	242	1516
138	243	1507
139	243	1498
140	244	1489
141	245	1480
142	245	1472
143	246	1463
144	246	1455
145	247	1448
146	248	1440
147	248	1432
148	249	1425
149	250	1417
150	250	1409
151	251	1402
152	251	1394
153	252	1387
154	253	1381
155	254	1375
156	254	1368
157	255	1361
158	256	1354
159	256	1347
160	257	1341
161	258	1334
162	258	1328
163	259	1324
164	260	1317
165	261	1311
166	261	1305
167	262	1298
168	262	1292
169	263	1287
170	264	1281
171	265	1276
172	266	1271
173	266	1265
174	267	1260
175	267	1254
176	268	1248
177	269	1243
178	269	1237
179	270	1233
180	271	1229
181	272	1224
182	273	1219
183	273	1214
184	274	1209
185	274	1203
186	275	1198
187	276	1192
188	276	1187
189	277	1184
190	278	1179
191	279	1175
192	279	1170
193	280	1165
194	280	1160
195	281	1154
196	282	1149
197	282	1144
198	283	1140
199	284	1136
200	284	1132
201	285	1128
202	286	1123
203	286	1119
204	287	1114
205	288	1110
206	288	1105
207	289	1101
208	290	1097
209	290	1093
210	291	1088
211	291	1084
212	292	1080
213	292	1075
214	293	1071
215	294	1067
216	294	1062
217	295	1058
218	295	1054
219	296	1051
220	297	1047
221	297	1043
222	298	1040
223	299	1036
224	299	1032
225	300	1028
226	300	1024
227	301	1021
228	302	1018
229	303	1015
230	303	1011
231	304	1007
232	305	1004
233	305	1000
234	306	996
235	306	992
236	307	989
237	308	986
238	308	982
239	309	979
240	309	976
241	310	972
242	311	968
243	311	965
244	312	961
245	312	958
246	313	955
247	313	952
248	314	949
249	315	946
250	315	942
251	316	939
252	317	936
253	317	932
254	318	929
255	318	926
256	319	923
257	320	921
258	321	918
259	321	915
260	322	912
261	322	909
262	323	906
263	324	903
264	324	900
265	325	898
266	326	896
267	327	893
268	327	890
269	328	888
270	329	885
271	329	882
272	330	879
273	330	876
274	331	874
275	332	872
276	333	869
277	333	866
278	334	863
279	334	861
280	335	858
281	336	855
282	336	852
283	337	850
284	338	848
285	339	847
286	340	845
287	340	842
288	341	839
289	341	837
290	342	834
291	343	832
292	344	830
293	344	827
294	345	825
295	346	823
296	346	820
297	347	818
298	347	815
299	348	812
300	349	810
301	349	808
302	350	806
303	351	804
304	351	801
305	352	799
306	353	796
307	353	794
308	354	792
309	354	789
310	355	788
311	356	786
312	357	783
313	357	781
314	358	779
315	358	777
316	359	774
317	360	772
318	360	770
319	361	768
320	362	766
321	363	764
322	363	762
323	364	759
324	364	757
325	365	755
326	366	753
327	366	751
328	368	751
329	369	749
330	370	748
331	370	746
332	371	744
333	372	742
334	372	740
335	375	741
336	375	739
337	376	737
338	376	734
339	377	732
340	378	730
341	378	728
342	379	726
343	380	724
344	380	722
345	381	720
346	382	719
347	382	717
348	383	715
349	383	713
350	384	711
351	385	709
352	386	707
353	386	705
354	387	703
355	388	702
356	388	700
357	389	698
358	390	696
359	390	694
360	391	692
361	392	690
362	392	689
363	393	687
364	394	685
365	394	683
366	395	681
367	395	679
368	396	678
369	397	676
370	397	674
371	398	672
372	399	671
373	399	669
374	400	667
375	401	665
376	401	663
377	402	661
378	402	659
379	403	658
380	404	656
381	404	655
382	405	653
383	406	651
384	406	649
385	407	647
386	407	646
387	408	644
388	408	642
389	409	640
390	410	638
391	410	637
392	411	635
393	412	633
394	412	632
395	413	630
396	413	628
397	414	626
398	414	625
399	415	623
400	416	621
401	416	620
402	417	618
403	418	616
404	418	614
405	419	613
406	419	611
